id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
7562,7562,2025,6,175,A3003,PA,Major,A316,A306,519966,175841,51.46882906,-0.2742392,2.9,1.8
7563,7563,2025,6,111,A3004,PA,Major,LA Boundary,A310,516480,175600,51.46739042,-0.32448326,0.7,0.4
7570,7570,2025,6,107,A3036,PA,Major,A202/A203,A3203,530430,178500,51.49041296,-0.12269111,0.9,0.6
7571,7571,2025,6,108,A3036,PA,Major,A3220,LA Boundary,528000,175600,51.46490552,-0.15872233,0.8,0.5
7572,7572,2025,6,66,A3044,PA,Major,A4(T),A408,506000,177830,51.48949385,-0.47463047,2.2,1.4
7598,7598,2022,6,103,A200,PA,Major,A100,Druid St,533430,179996,51.5031576,-0.07893973,0.2,0.1
7599,7599,2025,6,103,A3202,PA,Major,A300,A3,532100,179520,51.4991921,-0.09826909,0.2,0.1
7600,7600,2025,6,103,A3203,PA,Major,A23,A302,531400,179280,51.49719827,-0.10843722,0.3,0.2
7601,7601,2025,6,108,A3205,PA,Major,A3220,A3220,527693,176465,51.47274855,-0.16282744,0.2,0.1
7603,7603,2025,6,109,A3212,PA,Major,A3203,Parliament Square,530203,179258,51.49727725,-0.12567945,0.7,0.4
7604,7604,2025,6,110,A3220,PA,Major,A3220 Edith grove,A3212,526700,177380,51.48119469,-0.17678961,0.5,0.3
7605,7605,2025,6,108,A3216,PA,Major,A3036,A3205,528580,176000,51.46836896,-0.15023211,1.3,0.8
7606,7606,2025,6,110,A3217,PA,Major,A3220,A3216,527000,177930,51.48607034,-0.17227419,1.6,1.0
7607,7607,2025,6,110,A3218,PA,Major,A3220,A4,526000,178400,51.49051776,-0.18650131,1.6,1.0
7609,7609,2025,6,108,A3220,PA,Major,LA Boundary,A3220 Prince of Wales Drive,527050,177310,51.48048718,-0.17177714,0.8,0.5
7610,7610,2006,6,147,A4000,PA,Major,A40,A4000 Wales Farm Rd,520700,181900,51.52312885,-0.26160635,0.5,0.3
7611,7611,2025,6,147,A4000,PA,Major,A406,High St,519600,180000,51.50628619,-0.2780985,1.1,0.7
7613,7613,2025,6,118,A4005,PA,Major,LA Boundary,A4089,518000,183600,51.5389775,-0.29993643,0.6,0.4
7618,7618,2025,6,146,A4020,PA,Major,LA Boundary,Wood Lane / Shepherd's Bush Green,523200,180000,51.5055139,-0.22625284,1.5,0.9
7619,7619,2025,6,147,A4020,PA,Major,A3002,A4001,515300,180150,51.50852681,-0.33997884,0.3,0.2
7635,7635,2025,6,185,A4090,PA,Major,A312,A404,513250,188000,51.57949595,-0.3669814,3.5,2.2
7651,7651,2025,7,78,A4125,PA,Major,A4178,A411/A4008,511508,195232,51.64484506,-0.38981128,0.7,0.4
7652,7652,2025,6,185,A4127,PA,Major,LA Boundary,A4005,515660,186000,51.56103186,-0.3328741,0.7,0.4
7671,7671,2017,6,145,A4200,PA,Major,A40,A501,529970,182300,51.52466881,-0.12791322,1.3,0.8
7672,7672,2025,6,109,A4201,PA,Major,A5204,A501,528800,181700,51.51954442,-0.14498813,0.8,0.5
7715,7715,2025,6,96,A5200,PA,Major,Euston Rd,A5203,530320,183100,51.53177771,-0.12257514,0.3,0.2
7716,7716,2025,6,122,A5201,PA,Major,A1202,A10/A1208,533330,182670,51.5272111,-0.0793686,0.2,0.1
7717,7717,2025,6,145,A5201,PA,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.52202495,-0.10884969,0.4,0.2
7765,7765,2025,9,135,A24,PA,Major,A240,A232,522230,162200,51.34574715,-0.24635548,0.3,0.2
7770,7770,2025,9,135,A244,PA,Major,Heath Rd,A3,514142,161514,51.34126147,-0.36265359,1.2,0.7
7774,7774,2025,9,135,A309,PA,Major,A307,A3050,515400,168000,51.39930377,-0.34249884,2.9,1.8
7776,7776,2025,9,135,A317,PA,Major,A318,A320,504000,166470,51.38775329,-0.50676058,1.6,1.0
7782,7782,2025,9,135,A3,TA,Major,M25,A245,509100,160370,51.33196736,-0.4353615,2.2,1.4
7789,7789,2025,9,135,A217,PA,Major,A240,B2221,524560,158500,51.31198794,-0.21420953,0.8,0.5
7790,7790,2024,9,135,A244,PA,Major,A3050,A308,509250,169200,51.41130674,-0.43049947,4.3,2.7
7791,7791,2025,9,135,A245,PA,Major,A318 Oyster Lane,B374 Brooklands Rd,506900,161250,51.34029451,-0.46666517,0.9,0.6
7795,7795,2025,9,135,A307,PA,Major,Fairmile Lane,Hawkshill Way,512500,162500,51.3504507,-0.38590685,2.6,1.6
7796,7796,2025,9,135,A308,PA,Major,South St,A30,504021,171802,51.43567715,-0.50489547,0.7,0.4
7801,7801,2025,9,135,A2022,PA,Major,A24,A240,522700,160060,51.32641266,-0.24034676,2.6,1.6
7824,7824,2025,9,80,M25,TM,Major,3,2,554457,170565,51.41307112,0.21967033,5.3,3.3
7889,7889,2025,6,201,A125,PA,Major,A1306,A1112,552000,183400,51.52905728,0.18988455,1.9,1.2
7890,7890,2025,6,168,A1153,PA,Major,A13(T)/A123,A124,547200,185000,51.544704,0.12140581,2.8,1.7
7901,7901,2025,9,135,M25,TM,Major,11,10,505600,161200,51.3400876,-0.48533656,7.7,4.8
7902,7902,2025,9,83,M25,TM,Major,16,15,504000,183357,51.53954401,-0.5017965,8.4,5.2
